,Account Status,Duration,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Sex,Other debtors,Residence,Property,Age,Other installments,Housing,Number of credits,Job,Maintenance,Telephone,Foreign,label_value,score
759,<0,12,critical account,car (new),691,<100,>= 7 years,4,male single,none,3,savings agreement/life insurance,Middle2,none,own,2,skilled employee / official,1,none,yes,0,1.0
760,no,15,critical account,car (new),5045,no,>= 7 years,1,female divorced/separated/married,none,4,car or other,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
761,<0,18,critical account,furniture/equipment,2124,<100,1 <= < 4 years,4,female divorced/separated/married,none,4,real estate,Younger,none,rent,2,skilled employee / official,1,none,yes,0,1.0
762,<0,12,existing credits paid back duly till now,radio/television,2214,<100,1 <= < 4 years,4,male single,none,3,savings agreement/life insurance,Younger,none,own,1,unskilled - resident,1,none,yes,1,1.0
763,no,21,critical account,car (new),12680,no,>= 7 years,4,male single,none,4,no,Middle1,none,for free,1,management/ highly qualified employee,1,yes,yes,0,1.0
764,no,24,critical account,car (new),2463,<500,4 <= < 7 years,4,male married/widowed,none,3,savings agreement/life insurance,Middle1,none,own,2,skilled employee / official,1,yes,yes,1,1.0
765,<200,12,existing credits paid back duly till now,radio/television,1155,<100,>= 7 years,3,male married/widowed,guarantor,3,real estate,Middle2,bank,own,2,unskilled - resident,1,none,yes,1,1.0
766,<0,30,existing credits paid back duly till now,furniture/equipment,3108,<100,< 1 year,2,male divorced/separated,none,4,savings agreement/life insurance,Middle1,none,own,1,unskilled - resident,1,none,yes,0,1.0
767,no,10,existing credits paid back duly till now,car (used),2901,no,< 1 year,1,female divorced/separated/married,none,4,real estate,Middle1,none,rent,1,skilled employee / official,1,none,yes,1,1.0
768,<200,12,critical account,furniture/equipment,3617,<100,>= 7 years,1,male single,none,4,car or other,Middle1,none,rent,3,skilled employee / official,1,yes,yes,1,1.0
769,no,12,critical account,radio/television,1655,<100,>= 7 years,2,male single,none,4,real estate,Older,none,own,2,unskilled - resident,1,yes,yes,1,1.0
770,<0,24,existing credits paid back duly till now,car (used),2812,no,>= 7 years,2,female divorced/separated/married,none,4,real estate,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
771,<0,36,critical account,education,8065,<100,1 <= < 4 years,3,female divorced/separated/married,none,2,no,Younger,none,own,2,management/ highly qualified employee,1,yes,yes,0,0.0
772,no,21,critical account,car (used),3275,<100,>= 7 years,1,male single,none,4,car or other,Middle2,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
773,no,24,critical account,radio/television,2223,<500,>= 7 years,4,male single,none,4,savings agreement/life insurance,Older,bank,own,2,skilled employee / official,1,none,yes,1,1.0
774,>200,12,critical account,car (new),1480,<1000,unemployed,2,male single,none,4,no,Older,bank,for free,3,unemployed/ unskilled  - non-resident,1,none,yes,1,0.0
775,<0,24,existing credits paid back duly till now,car (new),1371,no,1 <= < 4 years,4,female divorced/separated/married,none,4,real estate,Younger,none,rent,1,skilled employee / official,1,none,yes,0,0.0
776,no,36,critical account,car (new),3535,<100,4 <= < 7 years,4,male single,none,4,car or other,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
777,<0,18,existing credits paid back duly till now,radio/television,3509,<100,4 <= < 7 years,4,female divorced/separated/married,guarantor,1,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
778,no,36,critical account,car (used),5711,>1000,>= 7 years,4,male single,none,2,car or other,Middle2,none,own,2,management/ highly qualified employee,1,yes,yes,1,1.0
779,<200,18,existing credits paid back duly till now,repairs,3872,<100,unemployed,2,female divorced/separated/married,none,4,car or other,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
780,<200,39,critical account,radio/television,4933,<100,4 <= < 7 years,2,male single,guarantor,2,real estate,Younger,none,own,2,skilled employee / official,1,none,yes,0,1.0
781,no,24,critical account,car (new),1940,>1000,>= 7 years,4,male single,none,4,real estate,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
782,<200,12,no credits taken,retraining,1410,<100,1 <= < 4 years,2,male single,none,2,real estate,Middle1,none,own,1,unskilled - resident,1,yes,yes,1,0.0
783,<200,12,existing credits paid back duly till now,car (new),836,<500,< 1 year,4,female divorced/separated/married,none,2,savings agreement/life insurance,Younger,bank,own,1,unskilled - resident,1,none,yes,0,0.0
784,<200,20,existing credits paid back duly till now,car (used),6468,no,unemployed,1,male divorced/separated,none,4,real estate,Older,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
785,<200,18,existing credits paid back duly till now,business,1941,>1000,1 <= < 4 years,4,male single,none,2,savings agreement/life insurance,Middle2,none,own,1,unskilled - resident,1,yes,yes,1,1.0
786,no,22,existing credits paid back duly till now,radio/television,2675,<1000,>= 7 years,3,male single,none,4,car or other,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
787,no,48,critical account,car (used),2751,no,>= 7 years,4,male single,none,3,car or other,Middle2,none,own,2,skilled employee / official,2,yes,yes,1,1.0
788,<200,48,delay in paying off,education,6224,<100,>= 7 years,4,male single,none,4,no,Older,none,for free,1,skilled employee / official,1,none,yes,0,0.0
789,<0,40,critical account,education,5998,<100,1 <= < 4 years,4,male single,none,3,no,Middle1,bank,own,1,skilled employee / official,1,yes,yes,0,0.0
790,<200,21,existing credits paid back duly till now,business,1188,<100,>= 7 years,2,female divorced/separated/married,none,4,savings agreement/life insurance,Middle2,none,own,1,skilled employee / official,2,none,yes,0,1.0
791,no,24,existing credits paid back duly till now,car (used),6313,no,>= 7 years,3,male single,none,4,car or other,Middle2,none,own,1,management/ highly qualified employee,2,yes,yes,1,1.0
792,no,6,critical account,furniture/equipment,1221,no,1 <= < 4 years,1,male married/widowed,none,2,savings agreement/life insurance,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
793,>200,24,existing credits paid back duly till now,furniture/equipment,2892,<100,>= 7 years,3,male divorced/separated,none,4,no,Older,none,for free,1,skilled employee / official,1,none,yes,1,0.0
794,no,24,existing credits paid back duly till now,furniture/equipment,3062,<1000,>= 7 years,4,male single,none,3,no,Middle1,none,rent,1,skilled employee / official,1,yes,yes,1,1.0
795,no,9,existing credits paid back duly till now,furniture/equipment,2301,<500,< 1 year,2,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
796,<0,18,existing credits paid back duly till now,car (used),7511,no,>= 7 years,1,male single,none,4,savings agreement/life insurance,Older,none,for free,1,skilled employee / official,2,yes,yes,0,1.0
797,no,12,critical account,furniture/equipment,1258,<100,< 1 year,2,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,2,unskilled - resident,1,none,yes,1,1.0
798,no,24,delay in paying off,car (new),717,no,>= 7 years,4,male married/widowed,none,4,car or other,Older,none,own,2,skilled employee / official,1,yes,yes,1,1.0
799,<200,9,existing credits paid back duly till now,car (new),1549,no,< 1 year,4,male single,none,2,real estate,Middle2,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,1,1.0
800,no,24,critical account,education,1597,<100,>= 7 years,4,male single,none,4,no,Older,none,for free,2,skilled employee / official,2,none,yes,1,1.0
801,<200,18,critical account,radio/television,1795,<100,>= 7 years,3,female divorced/separated/married,guarantor,4,real estate,Older,bank,rent,2,unskilled - resident,1,yes,yes,1,1.0
802,<0,20,critical account,furniture/equipment,4272,<100,>= 7 years,1,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,own,2,skilled employee / official,1,none,yes,1,1.0
803,no,12,critical account,radio/television,976,no,>= 7 years,4,male single,none,4,car or other,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
804,<200,12,existing credits paid back duly till now,car (new),7472,no,unemployed,1,female divorced/separated/married,none,2,real estate,Younger,none,rent,1,unemployed/ unskilled  - non-resident,1,none,yes,1,1.0
805,<0,36,existing credits paid back duly till now,car (new),9271,<100,4 <= < 7 years,2,male single,none,1,car or other,Younger,none,own,1,skilled employee / official,1,yes,yes,0,0.0
806,<200,6,existing credits paid back duly till now,radio/television,590,<100,< 1 year,3,male married/widowed,none,3,real estate,Younger,none,own,1,unskilled - resident,1,none,no,1,1.0
807,no,12,critical account,radio/television,930,no,>= 7 years,4,male single,none,4,real estate,Older,none,own,4,skilled employee / official,1,none,yes,1,1.0
808,<200,42,all credits at this bank paid back duly,car (used),9283,<100,unemployed,1,male single,none,2,no,Older,bank,for free,1,management/ highly qualified employee,1,yes,yes,1,0.0
809,<200,15,no credits taken,car (new),1778,<100,< 1 year,2,female divorced/separated/married,none,1,real estate,Younger,none,rent,2,unemployed/ unskilled  - non-resident,1,none,yes,0,0.0
810,<200,8,existing credits paid back duly till now,business,907,<100,< 1 year,3,male married/widowed,none,2,real estate,Younger,none,own,1,skilled employee / official,1,yes,yes,1,1.0
811,<200,6,existing credits paid back duly till now,radio/television,484,<100,4 <= < 7 years,3,male married/widowed,guarantor,3,real estate,Middle1,bank,own,1,unskilled - resident,1,none,yes,1,1.0
812,<0,36,critical account,car (used),9629,<100,4 <= < 7 years,4,male single,none,4,car or other,Younger,none,own,2,skilled employee / official,1,yes,yes,0,1.0
813,<0,48,existing credits paid back duly till now,domestic appliances,3051,<100,1 <= < 4 years,3,male single,none,4,car or other,Older,none,own,1,skilled employee / official,1,none,yes,0,0.0
814,<0,48,existing credits paid back duly till now,car (new),3931,<100,4 <= < 7 years,4,male single,none,4,no,Older,none,for free,1,skilled employee / official,2,none,yes,0,0.0
815,<200,36,delay in paying off,car (new),7432,<100,1 <= < 4 years,2,female divorced/separated/married,none,2,savings agreement/life insurance,Older,none,rent,1,skilled employee / official,1,none,yes,1,0.0
816,no,6,existing credits paid back duly till now,domestic appliances,1338,<1000,1 <= < 4 years,1,male divorced/separated,none,4,real estate,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
817,no,6,critical account,radio/television,1554,<100,4 <= < 7 years,1,female divorced/separated/married,none,2,car or other,Younger,none,rent,2,skilled employee / official,1,yes,yes,1,1.0
818,<0,36,existing credits paid back duly till now,others,15857,<100,unemployed,2,male divorced/separated,co-applicant,3,car or other,Older,none,own,1,management/ highly qualified employee,1,none,yes,1,0.0
819,<0,18,existing credits paid back duly till now,radio/television,1345,<100,1 <= < 4 years,4,male married/widowed,none,3,real estate,Younger,bank,own,1,skilled employee / official,1,none,yes,0,1.0
820,no,12,existing credits paid back duly till now,car (new),1101,<100,1 <= < 4 years,3,male married/widowed,none,2,real estate,Middle1,none,own,2,skilled employee / official,1,yes,yes,1,1.0
821,>200,12,existing credits paid back duly till now,radio/television,3016,<100,1 <= < 4 years,3,male married/widowed,none,1,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
822,<0,36,existing credits paid back duly till now,furniture/equipment,2712,<100,>= 7 years,2,male single,none,2,savings agreement/life insurance,Middle2,bank,own,1,skilled employee / official,2,none,yes,0,0.0
823,<0,8,critical account,car (new),731,<100,>= 7 years,4,male single,none,4,real estate,Older,none,own,2,unskilled - resident,1,none,yes,1,1.0
824,no,18,critical account,furniture/equipment,3780,<100,< 1 year,3,male divorced/separated,none,2,car or other,Middle2,none,own,2,management/ highly qualified employee,1,yes,yes,1,1.0
825,<0,21,critical account,car (new),1602,<100,>= 7 years,4,male married/widowed,none,3,car or other,Middle1,none,own,2,skilled employee / official,1,yes,yes,1,0.0
826,<0,18,critical account,car (new),3966,<100,>= 7 years,1,female divorced/separated/married,none,4,real estate,Middle2,bank,rent,3,skilled employee / official,1,yes,yes,0,0.0
827,no,18,no credits taken,business,4165,<100,1 <= < 4 years,2,male single,none,2,car or other,Middle2,store,own,2,skilled employee / official,2,none,yes,0,1.0
828,<0,36,existing credits paid back duly till now,car (used),8335,no,>= 7 years,3,male single,none,4,no,Older,none,for free,1,skilled employee / official,1,none,yes,0,1.0
829,<200,48,delay in paying off,business,6681,no,1 <= < 4 years,4,male single,none,4,no,Middle2,none,for free,1,skilled employee / official,2,yes,yes,1,0.0
830,no,24,delay in paying off,business,2375,<1000,1 <= < 4 years,4,male single,none,2,car or other,Older,none,own,2,skilled employee / official,2,yes,yes,1,1.0
831,<0,18,existing credits paid back duly till now,car (new),1216,<100,< 1 year,4,female divorced/separated/married,none,3,car or other,Younger,none,rent,1,skilled employee / official,1,yes,yes,0,0.0
832,<0,45,no credits taken,business,11816,<100,>= 7 years,2,male single,none,4,car or other,Middle1,none,rent,2,skilled employee / official,1,none,yes,0,0.0
833,<200,24,existing credits paid back duly till now,radio/television,5084,no,>= 7 years,2,female divorced/separated/married,none,4,car or other,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
834,>200,15,existing credits paid back duly till now,radio/television,2327,<100,< 1 year,2,female divorced/separated/married,none,3,real estate,Younger,none,own,1,unskilled - resident,1,none,yes,0,1.0
835,<0,12,no credits taken,car (new),1082,<100,1 <= < 4 years,4,male single,none,4,car or other,Older,bank,own,2,skilled employee / official,1,none,yes,0,0.0
836,no,12,existing credits paid back duly till now,radio/television,886,no,1 <= < 4 years,4,female divorced/separated/married,none,2,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
837,no,4,existing credits paid back duly till now,furniture/equipment,601,<100,< 1 year,1,female divorced/separated/married,none,3,real estate,Younger,none,rent,1,unskilled - resident,2,none,yes,1,1.0
838,<0,24,critical account,car (used),2957,<100,>= 7 years,4,male single,none,4,savings agreement/life insurance,Older,none,own,2,skilled employee / official,1,yes,yes,1,1.0
839,no,24,critical account,radio/television,2611,<100,>= 7 years,4,male married/widowed,co-applicant,3,real estate,Older,none,own,2,skilled employee / official,1,none,yes,1,1.0
840,<0,36,existing credits paid back duly till now,furniture/equipment,5179,<100,4 <= < 7 years,4,male single,none,2,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,none,yes,0,1.0
841,no,21,delay in paying off,car (used),2993,<100,1 <= < 4 years,3,male single,none,2,real estate,Middle1,store,own,2,unskilled - resident,1,none,yes,1,1.0
842,no,18,existing credits paid back duly till now,repairs,1943,<100,< 1 year,4,female divorced/separated/married,none,4,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,0,1.0
843,no,24,all credits at this bank paid back duly,business,1559,<100,4 <= < 7 years,4,male single,none,4,car or other,Older,bank,own,1,skilled employee / official,1,yes,yes,1,1.0
844,no,18,existing credits paid back duly till now,furniture/equipment,3422,<100,>= 7 years,4,male single,none,4,savings agreement/life insurance,Older,bank,own,3,skilled employee / official,2,yes,yes,1,1.0
845,<200,21,existing credits paid back duly till now,furniture/equipment,3976,no,4 <= < 7 years,2,male single,none,3,car or other,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,1.0
846,no,18,existing credits paid back duly till now,car (new),6761,no,1 <= < 4 years,2,male single,none,4,car or other,Older,none,rent,2,skilled employee / official,1,none,yes,0,1.0
847,no,24,existing credits paid back duly till now,car (new),1249,<100,< 1 year,4,male married/widowed,none,2,real estate,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
848,<0,9,existing credits paid back duly till now,radio/television,1364,<100,4 <= < 7 years,3,male single,none,4,real estate,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
849,<0,12,existing credits paid back duly till now,radio/television,709,<100,>= 7 years,4,male single,none,4,real estate,Older,store,own,1,unskilled - resident,1,none,yes,0,1.0
850,<0,20,critical account,car (new),2235,<100,1 <= < 4 years,4,male married/widowed,guarantor,2,savings agreement/life insurance,Middle2,bank,rent,2,skilled employee / official,1,none,no,0,1.0
851,no,24,critical account,car (used),4042,no,4 <= < 7 years,3,male single,none,4,savings agreement/life insurance,Older,none,own,2,skilled employee / official,1,yes,yes,1,1.0
852,no,15,critical account,radio/television,1471,<100,1 <= < 4 years,4,male single,none,4,no,Middle2,none,for free,2,skilled employee / official,1,yes,yes,1,1.0
853,<0,18,all credits at this bank paid back duly,car (new),1442,<100,4 <= < 7 years,4,male single,none,4,no,Middle1,none,for free,2,unskilled - resident,2,none,yes,0,0.0
854,no,36,delay in paying off,car (new),10875,<100,>= 7 years,2,male single,none,2,car or other,Older,none,own,2,skilled employee / official,2,yes,yes,1,1.0
855,no,24,existing credits paid back duly till now,car (new),1474,<500,< 1 year,4,male married/widowed,none,3,real estate,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,1.0
856,no,10,existing credits paid back duly till now,retraining,894,no,4 <= < 7 years,4,female divorced/separated/married,none,3,savings agreement/life insurance,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,1.0
857,no,15,critical account,furniture/equipment,3343,<100,1 <= < 4 years,4,male single,none,2,no,Middle1,none,for free,1,skilled employee / official,1,yes,yes,1,1.0
858,<0,15,existing credits paid back duly till now,car (new),3959,<100,1 <= < 4 years,3,female divorced/separated/married,none,2,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,yes,yes,0,1.0
859,no,9,existing credits paid back duly till now,car (new),3577,<500,1 <= < 4 years,1,male single,guarantor,2,real estate,Younger,none,rent,1,skilled employee / official,2,none,no,1,1.0
860,no,24,critical account,car (used),5804,>1000,1 <= < 4 years,4,male single,none,2,real estate,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
861,no,18,delay in paying off,business,2169,<100,1 <= < 4 years,4,male married/widowed,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,yes,yes,0,1.0
862,<0,24,existing credits paid back duly till now,radio/television,2439,<100,< 1 year,4,female divorced/separated/married,none,4,real estate,Middle2,none,own,1,skilled employee / official,1,yes,yes,0,1.0
863,no,27,critical account,furniture/equipment,4526,>1000,< 1 year,4,male single,none,2,real estate,Middle1,store,own,2,unskilled - resident,2,yes,yes,1,1.0
864,no,10,existing credits paid back duly till now,furniture/equipment,2210,<100,1 <= < 4 years,2,male single,none,2,real estate,Younger,bank,rent,1,unskilled - resident,1,none,yes,0,1.0
865,no,15,existing credits paid back duly till now,furniture/equipment,2221,<1000,1 <= < 4 years,2,female divorced/separated/married,none,4,car or other,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
866,<0,18,existing credits paid back duly till now,radio/television,2389,<100,< 1 year,4,female divorced/separated/married,none,1,car or other,Middle1,store,own,1,skilled employee / official,1,none,yes,1,0.0
867,no,12,critical account,furniture/equipment,3331,<100,>= 7 years,2,male single,none,4,savings agreement/life insurance,Older,store,own,1,skilled employee / official,1,none,yes,1,1.0
868,no,36,existing credits paid back duly till now,business,7409,no,>= 7 years,3,male single,none,2,savings agreement/life insurance,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
869,<0,12,existing credits paid back duly till now,furniture/equipment,652,<100,>= 7 years,4,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
870,no,36,delay in paying off,furniture/equipment,7678,<1000,4 <= < 7 years,2,female divorced/separated/married,none,4,car or other,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
871,>200,6,critical account,car (new),1343,<100,>= 7 years,1,male single,none,4,real estate,Older,none,own,2,skilled employee / official,2,none,no,1,1.0
872,<0,24,critical account,business,1382,<500,4 <= < 7 years,4,male single,none,1,real estate,Younger,none,own,2,skilled employee / official,1,yes,yes,1,1.0
873,no,15,existing credits paid back duly till now,domestic appliances,874,no,< 1 year,4,female divorced/separated/married,none,1,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
874,<0,12,existing credits paid back duly till now,furniture/equipment,3590,<100,1 <= < 4 years,2,male single,co-applicant,2,savings agreement/life insurance,Middle1,none,own,1,unskilled - resident,2,none,yes,1,1.0
875,<200,11,critical account,car (new),1322,>1000,1 <= < 4 years,4,female divorced/separated/married,none,4,car or other,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
876,<0,18,all credits at this bank paid back duly,radio/television,1940,<100,< 1 year,3,male single,co-applicant,4,no,Middle2,bank,for free,1,management/ highly qualified employee,1,yes,yes,1,0.0
877,no,36,existing credits paid back duly till now,radio/television,3595,<100,>= 7 years,4,male single,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
878,<0,9,existing credits paid back duly till now,car (new),1422,<100,< 1 year,3,male single,none,2,no,Middle1,none,for free,1,management/ highly qualified employee,1,yes,yes,0,0.0
879,no,30,critical account,radio/television,6742,no,4 <= < 7 years,2,male single,none,3,savings agreement/life insurance,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
880,no,24,existing credits paid back duly till now,car (used),7814,<100,4 <= < 7 years,3,male single,none,3,car or other,Middle2,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
881,no,24,existing credits paid back duly till now,car (used),9277,no,1 <= < 4 years,2,male divorced/separated,none,4,no,Older,none,for free,1,skilled employee / official,1,yes,yes,1,1.0
882,<200,30,critical account,car (new),2181,no,>= 7 years,4,male single,none,4,real estate,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
883,no,18,critical account,radio/television,1098,<100,unemployed,4,female divorced/separated/married,none,4,car or other,Older,none,own,2,unemployed/ unskilled  - non-resident,1,none,yes,1,1.0
884,<200,24,existing credits paid back duly till now,furniture/equipment,4057,<100,4 <= < 7 years,3,male divorced/separated,none,3,car or other,Older,none,own,1,skilled employee / official,1,yes,yes,0,1.0
885,<0,12,existing credits paid back duly till now,education,795,<100,< 1 year,4,female divorced/separated/married,none,4,savings agreement/life insurance,Older,none,own,1,skilled employee / official,1,none,yes,0,1.0
886,<200,24,critical account,business,2825,no,4 <= < 7 years,4,male single,none,3,no,Middle2,none,own,2,skilled employee / official,2,yes,yes,1,1.0
887,<200,48,existing credits paid back duly till now,business,15672,<100,1 <= < 4 years,2,male single,none,2,car or other,Younger,none,own,1,skilled employee / official,1,yes,yes,0,0.0
888,no,36,critical account,car (new),6614,<100,>= 7 years,4,male single,none,4,car or other,Middle2,none,own,2,management/ highly qualified employee,1,yes,yes,1,1.0
889,no,28,all credits at this bank paid back duly,car (used),7824,no,< 1 year,3,male single,guarantor,4,real estate,Middle2,bank,rent,2,skilled employee / official,2,yes,yes,1,1.0
890,<0,27,critical account,business,2442,<100,>= 7 years,4,male single,none,4,car or other,Older,store,own,4,management/ highly qualified employee,2,yes,yes,1,0.0
891,no,15,critical account,radio/television,1829,<100,>= 7 years,4,male single,none,4,car or other,Older,none,own,2,skilled employee / official,1,yes,yes,1,1.0
892,<0,12,critical account,car (new),2171,<100,1 <= < 4 years,4,male single,none,4,savings agreement/life insurance,Middle2,bank,own,2,unskilled - resident,1,none,no,1,0.0
893,<200,36,critical account,car (used),5800,<100,1 <= < 4 years,3,male single,none,4,car or other,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
894,no,18,critical account,radio/television,1169,no,1 <= < 4 years,4,male single,none,3,savings agreement/life insurance,Middle1,none,own,2,skilled employee / official,1,yes,yes,1,1.0
895,no,36,delay in paying off,car (used),8947,no,4 <= < 7 years,3,male single,none,2,car or other,Middle1,store,own,1,management/ highly qualified employee,2,yes,yes,1,1.0
896,<0,21,existing credits paid back duly till now,radio/television,2606,<100,< 1 year,4,female divorced/separated/married,none,4,savings agreement/life insurance,Middle1,none,rent,1,management/ highly qualified employee,1,yes,yes,1,0.0
897,no,12,critical account,furniture/equipment,1592,>1000,4 <= < 7 years,3,female divorced/separated/married,none,2,savings agreement/life insurance,Middle2,none,own,1,skilled employee / official,1,none,no,1,1.0
898,no,15,existing credits paid back duly till now,furniture/equipment,2186,no,4 <= < 7 years,1,female divorced/separated/married,none,4,real estate,Middle2,bank,rent,1,unskilled - resident,1,none,yes,1,1.0
899,<0,18,existing credits paid back duly till now,furniture/equipment,4153,<100,1 <= < 4 years,2,male single,co-applicant,3,car or other,Older,none,own,1,skilled employee / official,1,none,yes,0,1.0
900,<0,16,critical account,car (new),2625,<100,>= 7 years,2,male single,guarantor,4,savings agreement/life insurance,Older,bank,rent,1,skilled employee / official,1,yes,yes,0,1.0
901,no,20,critical account,car (new),3485,no,< 1 year,2,male divorced/separated,none,4,real estate,Older,none,own,2,skilled employee / official,1,yes,yes,1,1.0
902,no,36,critical account,car (used),10477,no,>= 7 years,2,male single,none,4,no,Older,none,for free,2,skilled employee / official,1,none,yes,1,1.0
903,no,15,existing credits paid back duly till now,radio/television,1386,no,1 <= < 4 years,4,male married/widowed,none,2,real estate,Middle2,none,rent,1,skilled employee / official,1,yes,yes,1,1.0
904,no,24,existing credits paid back duly till now,radio/television,1278,<100,>= 7 years,4,male single,none,1,real estate,Middle2,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
905,<0,12,existing credits paid back duly till now,radio/television,1107,<100,1 <= < 4 years,2,male single,none,2,real estate,Younger,none,rent,1,management/ highly qualified employee,2,yes,yes,1,1.0
906,<0,21,existing credits paid back duly till now,car (new),3763,no,4 <= < 7 years,2,male single,co-applicant,2,real estate,Younger,none,own,1,unskilled - resident,1,none,no,1,1.0
907,<200,36,existing credits paid back duly till now,education,3711,no,1 <= < 4 years,2,male married/widowed,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,1,0.0
908,no,15,delay in paying off,car (used),3594,<100,< 1 year,1,female divorced/separated/married,none,2,savings agreement/life insurance,Older,none,own,2,unskilled - resident,1,none,yes,1,1.0
909,<200,9,existing credits paid back duly till now,car (new),3195,no,1 <= < 4 years,1,female divorced/separated/married,none,2,real estate,Middle2,none,own,1,unskilled - resident,1,none,yes,1,1.0
910,no,36,delay in paying off,radio/television,4454,<100,1 <= < 4 years,4,female divorced/separated/married,none,4,real estate,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
911,<200,24,critical account,furniture/equipment,4736,<100,< 1 year,2,female divorced/separated/married,none,4,car or other,Younger,bank,own,1,unskilled - resident,1,none,yes,0,1.0
912,<200,30,existing credits paid back duly till now,radio/television,2991,no,>= 7 years,2,female divorced/separated/married,none,4,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
913,no,11,existing credits paid back duly till now,business,2142,>1000,>= 7 years,1,male divorced/separated,none,2,real estate,Middle1,none,own,1,skilled employee / official,1,yes,yes,1,1.0
914,<0,24,all credits at this bank paid back duly,business,3161,<100,1 <= < 4 years,4,male single,none,2,savings agreement/life insurance,Middle1,none,rent,1,skilled employee / official,1,yes,yes,0,0.0
915,<200,48,no credits taken,others,18424,<100,1 <= < 4 years,1,female divorced/separated/married,none,2,savings agreement/life insurance,Middle1,bank,own,1,management/ highly qualified employee,1,yes,no,0,0.0
916,no,10,existing credits paid back duly till now,car (used),2848,<500,1 <= < 4 years,1,male single,co-applicant,2,real estate,Middle1,none,own,1,skilled employee / official,2,none,yes,1,1.0
917,<0,6,existing credits paid back duly till now,car (new),14896,<100,>= 7 years,1,male single,none,4,no,Older,bank,own,1,management/ highly qualified employee,1,yes,yes,0,0.0
918,<0,24,existing credits paid back duly till now,furniture/equipment,2359,<500,unemployed,1,male divorced/separated,none,1,savings agreement/life insurance,Middle2,none,own,1,skilled employee / official,1,none,yes,0,1.0
919,<0,24,existing credits paid back duly till now,furniture/equipment,3345,<100,>= 7 years,4,male single,none,2,savings agreement/life insurance,Middle2,none,rent,1,management/ highly qualified employee,1,yes,yes,0,0.0
920,no,18,critical account,furniture/equipment,1817,<100,1 <= < 4 years,4,female divorced/separated/married,none,2,no,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
921,no,48,delay in paying off,radio/television,12749,<1000,4 <= < 7 years,4,male single,none,1,car or other,Middle2,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
922,<0,9,existing credits paid back duly till now,radio/television,1366,<100,< 1 year,3,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,none,yes,0,1.0
923,<200,12,existing credits paid back duly till now,car (new),2002,<100,4 <= < 7 years,3,male single,none,4,savings agreement/life insurance,Middle1,none,rent,1,skilled employee / official,2,yes,yes,1,1.0
